"Heading","CUI","Semantic Type", "Preferred Name"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment.","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment.","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction""Interleukin-2 has been associated with transient painless thyroiditis in 20% of patients.","C0021756|C0879590|C1522405|C0332281|C0040704|C0271814|C0205374|C3842589|C0030705","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|Patients"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment.","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction""Interleukin-2 has been associated with transient painless thyroiditis in 20% of patients.","C0021756|C0879590|C1522405|C0332281|C0040704|C0271814|C0205374|C3842589|C0030705","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|Patients""Interferon-? ","C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferon|Interferon"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment.","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction""Interleukin-2 has been associated with transient painless thyroiditis in 20% of patients.","C0021756|C0879590|C1522405|C0332281|C0040704|C0271814|C0205374|C3842589|C0030705","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|Patients""Interferon-? ","C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferonInterferon""and -? ","","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu][aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferonInterferon"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both.","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment.","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction""Interleukin-2 has been associated with transient painless thyroiditis in 20% of patients.","C0021756|C0879590|C1522405|C0332281|C0040704|C0271814|C0205374|C3842589|C0030705","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|Patients""Interferon-? ","C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferonInterferon""and -? ","","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu][aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferonInterferon""have not been reported to cause thyroid dysfunction.","C1518422|C0684224|C0700287|C0040363|C0041260|C1883351|C0015127|C1524003|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf][aapp, imft]|[gngm]|[aapp, phsu]|[qlco]|[popg]|[dsyn]|[tmco]|[fndg]|[podg][aapp, imft, phsu]|[aapp, imft, phsu][aapp, imft, phsu][ftcn]|[inpr]|[hlca]|[geoa]|[aapp, enzy]|[qlco]|[ftcn]|[cnce]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunctionInterleukin-2|IL2 gene|Recombinant Interleukin-2|Associated with|Transient Population Group|Silent thyroiditis|Transitory|20%|PatientsInterferons|human leukocyte interferonInterferonNegation|Report (document)|Reporting|Togo|Tryptophanase|To|Etiology aspects|Science of Etiology|Thyroid dysfunction"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both. ","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism"
"Therapy with interferon-? ","C0039798|C0087111|C1363945|C0021747|C0733470|C3652465","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|Interferon""has been associated with the development of antithyroid microsomal antibodies in 20% of patients and some have transient hypothyroidism, hyperthyroidism, or both. ","C0332281|C0243107|C0678723|C1527148|C0700384|C1979928|C3842589|C0030705|C0271795|C0020550","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|Hyperthyroidism""Patients who have antithyroid antibodies before treatment are at higher risk for thyroid dysfunction during treatment. ","C0030705|C0700384|C0039798|C0087111|C1522326|C1533734|C1705169|C3538994|C3887704|C0332167|C3272283|C0348024","[ftcn]|[topp]|[fndg]|[aapp, imft, phsu]|[aapp, imft, phsu]|[aapp, imft, phsu][qlco]|[phsf]|[orgf]|[ftcn]|[aapp, imft]|[qlco]|[fndg]|[podg]|[dsyn]|[dsyn][podg]|[aapp, imft]|[ftcn]|[topp]|[ftcn]|[topp]|[cnce]|[resa]|[hlca]|[qlco]|[fndg]|[patf]","therapeutic aspects|Therapeutic procedure|Therapy Object (animal model)|Interferons|human leukocyte interferon|InterferonAssociated with|development aspects|Biologic Development|Development|Thyroid antibody|Microsomal|20%|Patients|Transient hypothyroidism|HyperthyroidismPatients|Thyroid antibody|therapeutic aspects|Therapeutic procedure|Treating|Administration procedure|Biomaterial Treatment|Treatment Epoch|treatment - ActInformationManagementReason|High risk of|American College of Cardiology/American Heart Association Lesion Complexity Score C|Thyroid dysfunction"
