'headings','words','POStags' 
'Antacids- Aluminum & MagnesiumHydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','Antacids-|Aluminum|&|MagnesiumHydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives','Anticoagulants|(|oral|)|-|Coumarin|Derivatives-|Indandione|Derivatives','NNS|(|JJ|)|HYPH|NN|NN|NN|NNS'
'Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives','Anticoagulants|(|oral|)|-|Coumarin|Derivatives-|Indandione|Derivatives','NNS|(|JJ|)|HYPH|NN|NN|NN|NNS'
'Anticoagulants (oral) - Coumarin Derivatives - Indandione Derivatives','Anticoagulants|(|oral|)|-|Coumarin|Derivatives|-|Indandione|Derivatives','NNS|(|JJ|)|HYPH|NN|NNS|:|NN|NNS'
'Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives','Anticoagulants|(|oral|)|-|Coumarin|Derivatives-|Indandione|Derivatives','NNS|(|JJ|)|HYPH|NN|NN|NN|NNS'
"'Anticonvulsants:Carbamazepine,clonazepam, ethosuximide'","'Anticonvulsants|:|Carbamazepine|,|clonazepam|,|ethosuximide'","'NNS|:|NN|,|NN|,|NN'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants|-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNS|HYPH|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants|-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNS|HYPH|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|Reuptake|Inhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NN|NNS|(|NNS|:|FW|,|NN|)'"
"'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin ReuptakeInhibitors (SSRIs; e.g., Sertraline)'","'Antidepressants-|Tricyclics|(|e.g.|,|Amitriptyline|)|-|Tetracyclics|(|e.g.|,|Maprotiline|)|-|Selective|Serotonin|ReuptakeInhibitors|(|SSRIs|;|e.g.|,|Sertraline|)'","'NNP|NNPS|(|FW|,|NN|)|HYPH|NNPS|(|FW|,|NN|)|HYPH|JJ|NN|NNS|(|NNS|:|FW|,|NN|)'"
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antidiabetic Agents - Biguanides - Meglitinides - Sulfonylureas - Thiazolidediones - Insulin','Antidiabetic|Agents|-|Biguanides|-|Meglitinides|-|Sulfonylureas|-|Thiazolidediones|-|Insulin','JJ|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NNPS|HYPH|NN'
"'Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, propoxyphene, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics.'","'Antidiabetic|agents|,|ACE|inhibitors|,|angiotensin|II|receptor|blocking|agents|,|disopyramide|,|fibrates|,|fluoxetine|,|monoamine|oxidase|inhibitors|,|pentoxifylline|,|pramlintide|,|propoxyphene|,|salicylates|,|somatostatin|analogs|(|e.g.|,|octreotide|)|,|and|sulfonamide|antibiotics|.'","'JJ|NNS|,|NN|NNS|,|NN|CD|NN|NN|NNS|,|NN|,|NNS|,|NN|,|NN|NN|NNS|,|NN|,|NN|,|NN|,|NNS|,|NN|NNS|(|FW|,|NN|)|,|CC|NN|NNS|.'"
"'Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, propoxyphene, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics.'","'Antidiabetic|agents|,|ACE|inhibitors|,|angiotensin|II|receptor|blocking|agents|,|disopyramide|,|fibrates|,|fluoxetine|,|monoamine|oxidase|inhibitors|,|pentoxifylline|,|pramlintide|,|propoxyphene|,|salicylates|,|somatostatin|analogs|(|e.g.|,|octreotide|)|,|and|sulfonamide|antibiotics|.'","'JJ|NNS|,|NN|NNS|,|NN|CD|NN|NN|NNS|,|NN|,|NNS|,|NN|,|NN|NN|NNS|,|NN|,|NN|,|NN|,|NNS|,|NN|NNS|(|FW|,|NN|)|,|CC|NN|NNS|.'"
'Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin','Antidiabetic|Agents-|Biguanides-|Meglitinides-|Sulfonylureas-|Thiazolidediones-|Insulin','JJ|NNP|NNP|NNP|NNP|NNP|NNP'
'Antifungals: Fluconazole*','Antifungals|:|Fluconazole*','NNS|:|NN'
'Antithrombotics: Warfarin','Antithrombotics|:|Warfarin','NNS|:|NN'
'Appropriate doses for these combinations have not been established.','Appropriate|doses|for|these|combinations|have|not|been|established|.','JJ|NNS|IN|DT|NNS|VBP|RB|VBN|VBN|.'
'Appropriate doses for this combination have not been established.','Appropriate|doses|for|this|combination|have|not|been|established|.','JJ|NNS|IN|DT|NN|VBP|RB|VBN|VBN|.'
'Asparaginase','Asparaginase','NN'
'Atazanavir/ Ritonavir*','Atazanavir/|Ritonavir*','NNP|NNP'
'AUC024 hrs','AUC024|hrs','NN|NNS'
'Avoid Use(Plasma Exposure Likely to be Increased and Prolonged) ','Avoid|Use|(|Plasma|Exposure|Likely|to|be|Increased|and|Prolonged|)','JJ|NN|(|NN|NN|RB|TO|VB|VBN|CC|VBN|)'
'Avoid Use Five-fold increase in duloxetine exposure ','Avoid|Use|Five-fold|increase|in|duloxetine|exposure','JJ|NN|JJ|NN|IN|NN|NN'
'Avoid Use','Avoid|Use','NNP|NNP'
'Avoid Use (Plasma Exposure Likely to be Increased and Prolonged)','Avoid|Use|(|Plasma|Exposure|Likely|to|be|Increased|and|Prolonged|)','JJ|NN|(|NN|NN|RB|TO|VB|VBN|CC|VBN|)'
'Avoid Use (Plasma Exposure Likely to be Increased and Prolonged) ','Avoid|Use|(|Plasma|Exposure|Likely|to|be|Increased|and|Prolonged|)','JJ|NN|(|NN|NN|RB|TO|VB|VBN|CC|VBN|)'
'Avoid Use Five-fold increase in duloxetine exposure','Avoid|Use|Five-fold|increase|in|duloxetine|exposure','JJ|NN|JJ|NN|IN|NN|NN'
'Avoid Use Five-fold increase in duloxetine exposure ','Avoid|Use|Five-fold|increase|in|duloxetine|exposure','JJ|NN|JJ|NN|IN|NN|NN'
'Avoidgrapefruitjuice','Avoidgrapefruitjuice','NNP'
"'Because of the risk of increased exposure to nevirapine, caution should be used in concomitant administration, and patients should be monitored closely for nevirapine-associated adverse events.'","'Because|of|the|risk|of|increased|exposure|to|nevirapine|,|caution|should|be|used|in|concomitant|administration|,|and|patients|should|be|monitored|closely|for|nevirapine-associated|adverse|events|.'","'IN|IN|DT|NN|IN|VBN|NN|TO|NN|,|NN|MD|VB|VBN|IN|JJ|NN|,|CC|NNS|MD|VB|VBN|RB|IN|JJ|JJ|NNS|.'"
'Boceprevir ','Boceprevir','NNP'
'bosentan','bosentan','NN'
"'Calcitriol\										Ciprofloxacin\										Digoxin\										Enalapril\										Furosemide\										HMG-CoA reductase inhibitors\										Hydrochlorothiazide\										Losartan\										Metoprolol\										Nifedipine\										Omeprazole\										Quinidine\										Warfarin'",'Calcitriol\|Ciprofloxacin\|Digoxin\|Enalapril\|Furosemide\|HMG-CoA|reductase|inhibitors\|Hydrochlorothiazide\|Losartan\|Metoprolol\|Nifedipine\|Omeprazole\|Quinidine\|Warfarin','NNP|NNP|NNP|NNP|NNP|NN|NN|NN|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
"'Calcium channel blockers: Diltiazem, nifedipine, verapamil'","'Calcium|channel|blockers|:|Diltiazem|,|nifedipine|,|verapamil'","'NN|NN|NNS|:|NN|,|NN|,|NN'"
'Cancer chemotherapy:Cyclophosphamide','Cancer|chemotherapy|:|Cyclophosphamide','NN|NN|:|NN'
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'carbamazepine','carbamazepine','NN'
'Carbamazepine Hydantoins Phenobarbital Rifampin','Carbamazepine|Hydantoins|Phenobarbital|Rifampin','NN|VBZ|NN|NN'
'CarbamazepineHydantoinsPhenobarbitalRifampin','CarbamazepineHydantoinsPhenobarbitalRifampin','NNP'
'carbamazepine','carbamazepine','NN'
'Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with ciprofloxacin are advised.','Careful|monitoring|of|clozapine|associated|adverse|reactions|and|appropriate|adjustment|of|clozapine|dosage|during|and|shortly|after|co-administration|with|ciprofloxacin|are|advised|.','JJ|NN|IN|NN|VBN|JJ|NNS|CC|JJ|NN|IN|NN|NN|IN|CC|RB|IN|NN|IN|NN|VBP|VBN|.'
'Change in the Concentration of Ganciclovir or Concomitant Drug','Change|in|the|Concentration|of|Ganciclovir|or|Concomitant|Drug','NN|IN|DT|NNP|IN|NNP|CC|NNP|NNP'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine Nitroprusside Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics','Chloral|Hydrate|Diazepam|Ethionamide|Lovastatin|Metoclopramide|6-Mercaptopurine|Nitroprusside|Para-aminosalicylate|sodium|Perphenazine|Resorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NN|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine NITROPRUSSIDE Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics','Chloral|Hydrate|Diazepam|Ethionamide|Lovastatin|Metoclopramide|6-Mercaptopurine|NITROPRUSSIDE|Para-aminosalicylate|sodium|Perphenazine|Resorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NN|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNITROPRUSSIDEPara-aminosalicylate sodiumPerphenazineResorcinol(excessive topical use)Thiazide Diuretics','Chloral|HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNITROPRUSSIDEPara-aminosalicylate|sodiumPerphenazineResorcinol|(|excessive|topical|use|)|Thiazide|Diuretics','JJ|NN|NN|(|JJ|JJ|NN|)|NN|NNS'
'Ciprofloxacin inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.','Ciprofloxacin|inhibits|the|formation|of|paraxanthine|after|caffeine|administration|(|or|pentoxifylline|containing|products|)|.|Monitor|for|xanthine|toxicity|and|adjust|dose|as|necessary|.','NN|VBZ|DT|NN|IN|NN|IN|NN|NN|(|CC|NN|VBG|NNS|)|.|NN|IN|NN|NN|CC|JJ|NN|IN|JJ|.'
"'Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics)\[see Warnings and Precautions (5.10) and Use inSpecific Populations (8.5)].'","'Ciprofloxacin|may|further|prolong|the|QT|interval|in|patients|receiving|drugs|known|to|prolong|the|QT|interval|(|for|example|,|class|IA|or|III|antiarrhythmics|,|tricyclic|antidepressants|,|macrolides|,|antipsychotics|)|\|[|see|Warnings|and|Precautions|(|5.10|)|and|Use|inSpecific|Populations|(|8.5|)|]|.'","'NN|MD|RB|VB|DT|NN|NN|IN|NNS|VBG|NNS|VBN|TO|VB|DT|NN|NN|(|IN|NN|,|NN|NN|CC|CD|NNS|,|JJ|NNS|,|NNS|,|NNS|)|NN|(|VB|NNS|CC|NNS|(|CD|)|CC|NN|JJ|NNS|(|CD|)|)|.'"
"'Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)]. '","'Ciprofloxacin|may|further|prolong|the|QT|interval|in|patients|receiving|drugs|known|to|prolong|the|QT|interval|(|for|example|,|class|IA|or|III|antiarrhythmics|,|tricyclic|antidepressants|,|macrolides|,|antipsychotics|)|[|see|Warnings|and|Precautions|(|5.10|)|and|Use|in|Specific|Populations|(|8.5|)|]|.'","'NN|MD|RB|VB|DT|NN|NN|IN|NNS|VBG|NNS|VBN|TO|VB|DT|NN|NN|(|IN|NN|,|NN|NN|CC|CD|NNS|,|JJ|NNS|,|NNS|,|NNS|)|(|VB|NNS|CC|NNS|(|CD|)|CC|NN|IN|JJ|NNS|(|CD|)|)|.'"
"'Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)]. '","'Ciprofloxacin|may|further|prolong|the|QT|interval|in|patients|receiving|drugs|known|to|prolong|the|QT|interval|(|for|example|,|class|IA|or|III|antiarrhythmics|,|tricyclic|antidepressants|,|macrolides|,|antipsychotics|)|[|see|Warnings|and|Precautions|(|5.10|)|and|Use|in|Specific|Populations|(|8.5|)|]|.'","'NN|MD|RB|VB|DT|NN|NN|IN|NNS|VBG|NNS|VBN|TO|VB|DT|NN|NN|(|IN|NN|,|NN|NN|CC|CD|NNS|,|JJ|NNS|,|NNS|,|NNS|)|(|VB|NNS|CC|NNS|(|CD|)|CC|NN|IN|JJ|NNS|(|CD|)|)|.'"
'Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration [see Dosage and Administration. (2)]. ','Ciprofloxacin|should|be|taken|at|least|two|hours|before|or|six|hours|after|Multivalent|cation-containing|products|administration|[|see|Dosage|and|Administration.|(|2|)|]|.','NN|MD|VB|VBN|IN|JJS|CD|NNS|IN|CC|CD|NNS|IN|JJ|JJ|NNS|NN|(|VB|NNP|CC|NNP|(|CD|)|)|.'
'Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration .\[see Dosage and Administration\(2)].','Ciprofloxacin|should|be|taken|at|least|two|hours|before|or|six|hours|after|Multivalent|cation-containing|products|administration|.\|[|see|Dosage|and|Administration\|(|2|)|]|.','NN|MD|VB|VBN|IN|JJS|CD|NNS|IN|CC|CD|NNS|IN|JJ|JJ|NNS|NN|NN|(|VB|NN|CC|NN|(|CD|)|)|.'
'Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration [see Dosage and Administration. (2)]. ','Ciprofloxacin|should|be|taken|at|least|two|hours|before|or|six|hours|after|Multivalent|cation-containing|products|administration|[|see|Dosage|and|Administration.|(|2|)|]|.','NN|MD|VB|VBN|IN|JJS|CD|NNS|IN|CC|CD|NNS|IN|JJ|JJ|NNS|NN|(|VB|NNP|CC|NNP|(|CD|)|)|.'
"'Clarithromycin exposure was significantly decreased by nevirapine; however, 14-OH metabolite concentrations were increased. Because clarithromycin active metabolite has reduced activity against Mycobacterium aviumintracellulare complex, overall activity against this pathogen may be altered. Alternatives to clarithromycin, such as azithromycin, should be considered.'","'Clarithromycin|exposure|was|significantly|decreased|by|nevirapine|;|however|,|14-OH|metabolite|concentrations|were|increased.|Because|clarithromycin|active|metabolite|has|reduced|activity|against|Mycobacterium|aviumintracellulare|complex|,|overall|activity|against|this|pathogen|may|be|altered.|Alternatives|to|clarithromycin|,|such|as|azithromycin|,|should|be|considered|.'","'NN|NN|VBD|RB|VBN|IN|NN|:|RB|,|NN|NN|NNS|VBD|VBN|IN|NN|JJ|NN|VBZ|VBN|NN|IN|NN|NN|NN|,|JJ|NN|IN|DT|NN|MD|VB|JJ|NNS|TO|NN|,|JJ|IN|NN|,|MD|VB|VBN|.'"
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'Clofibrate','Clofibrate','NN'
'Clofibrate Estrogen-containing oral contraceptives Estrogens (oral) Heroin / Methadone 5-Fluorouracil Mitotane Tamoxifen','Clofibrate|Estrogen-containing|oral|contraceptives|Estrogens|(|oral|)|Heroin|/|Methadone|5-Fluorouracil|Mitotane|Tamoxifen','NN|JJ|JJ|NNS|NNS|(|JJ|)|NN|SYM|NN|NN|NN|NN'
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen','ClofibrateEstrogen-containing|oral|contraceptivesEstrogens|(|oral|)|Heroin|/|Methadone5-FluorouracilMitotaneTamoxifen','JJ|JJ|NNS|(|JJ|)|NN|SYM|NN'
'Co-administration of nevirapine and fosamprenavir without ritonavir is not recommended.','Co-administration|of|nevirapine|and|fosamprenavir|without|ritonavir|is|not|recommended|.','NN|IN|NN|CC|NN|IN|NN|VBZ|RB|VBN|.'
'Co-administration of nevirapine and fosamprenavir without ritonavir is not recommended. No dosing adjustments are required when nevirapine is co-administered with 700/100 mg of fosamprenavir/ritonavir twice daily. The combination of nevirapine administered with fosamprenavir/ritonavir once daily has not been studied. ','Co-administration|of|nevirapine|and|fosamprenavir|without|ritonavir|is|not|recommended.|No|dosing|adjustments|are|required|when|nevirapine|is|co-administered|with|700/100|mg|of|fosamprenavir/ritonavir|twice|daily.|The|combination|of|nevirapine|administered|with|fosamprenavir/ritonavir|once|daily|has|not|been|studied|.','NN|IN|NN|CC|NN|IN|NN|VBZ|RB|VB|DT|NN|NNS|VBP|VBN|WRB|NN|VBZ|VBN|IN|CD|NN|IN|NN|RB|RB|DT|NN|IN|NN|VBN|IN|NN|RB|RB|VBZ|RB|VBN|VBN|.'
'Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ','Concomitant|administration|of|tizanidine|and|ciprofloxacin|is|contraindicated|due|to|the|potentiation|of|hypotensive|and|sedative|effects|of|tizanidine|[|see|Contraindications|(|4.2|)|]','JJ|NN|IN|NN|CC|NN|VBZ|VBN|IN|TO|DT|NN|IN|JJ|CC|JJ|NNS|IN|NN|(|VB|NNS|(|CD|)|)'
'Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [ ]\see Contraindications (4.2)','Concomitant|administration|of|tizanidine|and|ciprofloxacin|is|contraindicated|due|to|the|potentiation|of|hypotensive|and|sedative|effects|of|tizanidine|[|]|\see|Contraindications|(|4.2|)','JJ|NN|IN|NN|CC|NN|VBZ|VBN|IN|TO|DT|NN|IN|JJ|CC|JJ|NNS|IN|NN|(|)|VBP|NNS|(|CD|)'
'Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ','Concomitant|administration|of|tizanidine|and|ciprofloxacin|is|contraindicated|due|to|the|potentiation|of|hypotensive|and|sedative|effects|of|tizanidine|[|see|Contraindications|(|4.2|)|]','JJ|NN|IN|NN|CC|NN|VBZ|VBN|IN|TO|DT|NN|IN|JJ|CC|JJ|NNS|IN|NN|(|VB|NNS|(|CD|)|)'
"'Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate.\[See Warnings and Precautions (5.6).]'","'Concurrent|administration|of|ciprofloxacin|with|theophylline|may|result|in|increased|risk|of|a|patient|developing|central|nervous|system|(|CNS|)|or|other|adverse|reactions.|If|concomitant|use|can|not|be|avoided|,|monitor|serum|levels|of|theophylline|and|adjust|dosage|as|appropriate.\|[|See|Warnings|and|Precautions|(|5.6|)|.|]'","'JJ|NN|IN|NN|IN|NN|MD|VB|IN|VBN|NN|IN|DT|NN|VBG|JJ|JJ|NN|(|NN|)|CC|JJ|JJ|NN|IN|JJ|NN|MD|RB|VB|VBN|,|NN|NN|NNS|IN|NN|CC|JJ|NN|IN|NN|(|NN|NNS|CC|NNS|(|CD|)|.|)'"
"'Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] '","'Concurrent|administration|of|ciprofloxacin|with|theophylline|may|result|in|increased|risk|of|a|patient|developing|central|nervous|system|(|CNS|)|or|other|adverse|reactions.|If|concomitant|use|can|not|be|avoided|,|monitor|serum|levels|of|theophylline|and|adjust|dosage|as|appropriate.|[|See|Warnings|and|Precautions|(|5.6|)|.|]'","'JJ|NN|IN|NN|IN|NN|MD|VB|IN|VBN|NN|IN|DT|NN|VBG|JJ|JJ|NN|(|NN|)|CC|JJ|JJ|NN|IN|JJ|NN|MD|RB|VB|VBN|,|NN|NN|NNS|IN|NN|CC|JJ|NN|IN|NN|(|NN|NNS|CC|NNS|(|CD|)|.|)'"
"'Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] '","'Concurrent|administration|of|ciprofloxacin|with|theophylline|may|result|in|increased|risk|of|a|patient|developing|central|nervous|system|(|CNS|)|or|other|adverse|reactions.|If|concomitant|use|can|not|be|avoided|,|monitor|serum|levels|of|theophylline|and|adjust|dosage|as|appropriate.|[|See|Warnings|and|Precautions|(|5.6|)|.|]'","'JJ|NN|IN|NN|IN|NN|MD|VB|IN|VBN|NN|IN|DT|NN|VBG|JJ|JJ|NN|(|NN|)|CC|JJ|JJ|NN|IN|JJ|NN|MD|RB|VB|VBN|,|NN|NN|NNS|IN|NN|CC|JJ|NN|IN|NN|(|NN|NNS|CC|NNS|(|CD|)|.|)'"
'Concurrent use may increase the effects of sympathomimetics or thyroid hormone.Thyroid hormones may increase the risk of coronary insufficiency when sympathomimetic agents are administered to patients with coronary artery disease.','Concurrent|use|may|increase|the|effects|of|sympathomimetics|or|thyroid|hormone.Thyroid|hormones|may|increase|the|risk|of|coronary|insufficiency|when|sympathomimetic|agents|are|administered|to|patients|with|coronary|artery|disease|.','JJ|NN|MD|VB|DT|NNS|IN|NNS|CC|JJ|NN|NNS|MD|VB|DT|NN|IN|JJ|NN|WRB|JJ|NNS|VBP|VBN|TO|NNS|IN|JJ|NN|NN|.'
